id,50,10,5,2,1,sentence
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,22,22,18,8,6,9
G10_Classics_01_shijing_seg_nopunc_reduced_gods_reduced_punishment_stopwords_delimiters_10_,13,13,11,2,1,2
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_religion_stopwords_delimiters_10_,62,62,53,39,30,31
G10_Classics_01_shijing_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,13,13,11,2,1,2
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,7,7,7,4,3,4
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,40,40,35,24,19,23
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_morality_stopwords_delimiters_10_,12,12,8,5,1,6
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_emotion_stopwords_delimiters_10_,59,59,47,31,12,28
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_cognition_stopwords_delimiters_10_,4,4,4,3,2,2
G10_Classics_01_shijing_seg_nopunc_reduced_gods_reduced_reward_stopwords_delimiters_10_,5,5,4,1,0,2
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_cognition_stopwords_delimiters_10_,43,43,20,5,3,8
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,26,26,23,12,8,6
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,93,93,71,38,22,28
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_religion_stopwords_delimiters_10_,7,7,7,4,3,5
G10_Classics_01_shijing_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,5,5,4,1,0,2
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_religion_stopwords_delimiters_10_,14,14,8,4,3,5
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,4,4,2,2,1,1
G10_Classics_01_shijing_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_cognition_stopwords_delimiters_10_,1,1,1,1,1,1
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_morality_stopwords_delimiters_10_,9,9,7,5,4,4
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_cognition_stopwords_delimiters_10_,9,9,4,2,1,2
