id,50,10,5,2,1,sentence
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_emotion_stopwords_delimiters_10_,48,48,29,15,2,28
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,9,9,5,1,0,5
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,18,18,9,1,0,7
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,66,66,42,17,5,34
G10_Classics_01_shijing_seg_nopunc_reduced_gods_reduced_reward_stopwords_delimiters_10_,4,4,1,0,0,2
G10_Classics_01_shijing_seg_nopunc_reduced_deity_reduced_punishment_stopwords_delimiters_10_,6,6,3,1,1,2
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,40,40,30,13,2,23
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_morality_stopwords_delimiters_10_,5,5,3,1,0,4
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,22,22,11,5,2,7
G10_Classics_01_shijing_seg_nopunc_reduced_gods_reduced_punishment_stopwords_delimiters_10_,13,13,7,3,1,2
G10_Classics_01_shijing_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,4,4,2,1,0,2
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_religion_stopwords_delimiters_10_,12,12,8,3,1,6
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_emotion_stopwords_delimiters_10_,7,7,4,1,1,4
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_cognition_stopwords_delimiters_10_,3,3,2,1,1,2
G10_Classics_01_shijing_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_cognition_stopwords_delimiters_10_,6,6,1,0,0,3
G10_Classics_01_shijing_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_cognition_stopwords_delimiters_10_,1,1,1,1,1,1
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,23,23,18,13,7,9
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_cognition_stopwords_delimiters_10_,26,26,14,8,3,8
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,53,53,46,28,13,33
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_morality_stopwords_delimiters_10_,96,96,74,32,11,41
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,2,2,1,1,0,1
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,15,15,11,7,4,2
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_emotion_stopwords_delimiters_10_,1,1,1,1,0,0
